iter	RMSE
0	17607.5464
1	16004.46877
2	14521.04395
3	13183.30284
4	11945.29802
5	10827.17817
6	9827.512336
7	8908.527206
8	8117.753196
9	7403.375142
10	6733.069712
11	6108.646256
12	5560.987535
13	5071.981862
14	4630.017055
15	4227.007417
16	3856.612718
17	3527.972783
18	3222.84019
19	2961.310249
20	2723.197698
21	2503.980733
22	2309.358386
23	2146.314798
24	1988.516667
25	1846.101528
26	1721.295712
27	1614.15279
28	1514.185272
29	1428.987216
30	1358.334035
31	1295.419078
32	1235.915697
33	1187.056916
34	1143.765197
35	1104.766795
36	1068.126939
37	1037.140843
38	1010.368267
39	985.1623657
40	963.2833115
41	946.8894394
42	930.9077759
43	916.7079676
44	903.5113961
45	891.998276
46	884.1572288
47	877.6357232
48	866.1414829
49	858.2553522
50	849.3526327
51	842.1528644
52	836.5955637
53	830.1969508
54	824.9356919
55	821.5493163
56	816.5866258
57	811.8138005
58	808.9520552
59	803.6627103
60	801.5441318
61	796.7898725
62	793.363252
63	790.6048078
64	787.2517089
65	784.3556627
66	782.5371117
67	779.3730824
68	775.2766448
69	773.0018742
70	770.0803039
71	767.762774
72	764.9024957
73	762.3078426
74	760.5945481
75	758.8271136
76	755.9791614
77	752.4314864
78	750.8230194
79	742.708759
80	741.8204957
81	739.3985636
82	734.8493749
83	733.0151962
84	729.4946831
85	728.110752
86	726.1746568
87	720.4890896
88	718.8011486
89	717.7589383
90	716.5360632
91	713.0732737
92	708.5908345
93	705.5343584
94	702.7827056
95	701.084536
96	699.660231
97	695.1571719
98	690.9057385
99	687.9185028
100	684.9871939
101	683.6228292
102	682.2345974
103	680.2079147
104	677.5937792
105	675.5735099
106	672.844087
107	671.4923223
108	670.2735858
109	667.9316621
110	667.6388109
111	666.5403476
112	665.0831526
113	664.1769245
114	661.9773069
115	660.1840739
116	657.2133727
117	656.2735716
118	652.5315422
119	650.2860118
120	647.8670196
121	645.7256067
122	642.3607435
123	641.3397907
124	640.9440545
125	640.1092154
126	637.5079031
127	635.312929
128	632.643175
129	630.5899793
130	629.3398894
131	629.0784131
132	626.7514955
133	625.476482
134	624.1930086
135	622.37133
136	622.1290739
137	620.9921934
138	620.091254
139	617.7977581
140	617.0754193
141	616.2892959
142	616.0851258
143	614.1867184
144	612.7492303
145	610.5576372
146	607.6703643
147	606.011733
148	605.6628068
149	603.4225571
150	600.991945
151	597.9929912
152	596.7195101
153	594.8398471
154	593.6544185
155	593.0513449
156	591.6448123
157	589.5327194
158	587.7229412
159	587.0215936
160	585.5019683
161	583.842293
162	582.3353953
163	580.0269899
164	577.3032185
165	575.5254633
166	574.7960329
167	573.3119688
168	572.549178
169	570.8889613
170	570.2846499
171	568.8950139
172	567.6648842
173	565.5696411
174	564.5500892
175	563.8406841
176	562.4940074
177	561.1610104
178	559.830716
179	558.9933762
180	557.9604955
181	557.6798199
182	555.3911501
183	554.0100501
184	553.8324887
185	552.0772698
186	550.3876117
187	549.7021728
188	548.5787212
189	546.7799254
190	545.4376971
191	544.2374139
192	543.6330687
193	542.4541764
194	541.2567331
195	539.6853112
196	539.0952787
197	537.8577813
198	536.8838909
199	535.747264
200	534.8776212
201	533.31085
202	532.0405101
203	531.0185093
204	529.3952181
205	528.5121538
206	527.9164928
207	526.9951241
208	525.9506681
209	524.6320859
210	524.1613973
211	522.3056867
212	521.8099881
213	520.8644254
214	519.3985478
215	518.8051955
216	517.541116
217	516.3695408
218	515.6048397
219	515.2261692
220	514.8519838
221	514.4877458
222	514.0606986
223	513.3419575
224	512.5831856
225	511.2632833
226	509.5286674
227	508.4990197
228	507.6893946
229	506.5258214
230	505.416934
231	504.7111517
232	504.2999141
233	502.5579404
234	501.0190707
235	500.6980904
236	499.5420609
237	498.4767286
238	497.5668965
239	496.7399665
240	495.0282021
