iter	Passed	Remaining
0	61	61100
1	61	30886
2	62	20807
3	63	15704
4	63	12732
5	64	10678
6	65	9249
7	65	8156
8	66	7328
9	67	6669
10	68	6135
11	68	5677
12	69	5286
13	70	4944
14	70	4651
15	71	4396
16	72	4174
17	72	3976
18	73	3788
19	73	3622
20	74	3473
21	74	3331
22	75	3215
23	76	3112
24	77	3008
25	77	2912
26	78	2822
27	79	2743
28	79	2664
29	80	2590
30	80	2518
31	81	2454
32	81	2392
33	82	2332
34	82	2275
35	83	2222
36	83	2170
37	83	2123
38	84	2079
39	84	2037
40	85	1996
41	85	1956
42	86	1920
43	86	1884
44	87	1850
45	87	1817
46	88	1785
47	88	1755
48	88	1725
49	89	1697
50	89	1673
51	90	1652
52	91	1633
53	92	1613
54	92	1592
55	93	1572
56	93	1553
57	94	1537
58	95	1519
59	95	1502
60	96	1484
61	97	1467
62	97	1451
63	98	1435
64	98	1420
65	99	1405
66	99	1390
67	100	1376
68	100	1362
69	101	1347
70	101	1333
71	102	1321
72	103	1308
73	103	1295
74	103	1282
75	104	1270
76	105	1258
77	105	1247
78	105	1235
79	106	1224
80	107	1214
81	107	1203
82	107	1192
83	108	1182
84	108	1172
85	109	1164
86	110	1155
87	110	1147
88	111	1138
89	111	1129
90	112	1120
91	112	1111
92	113	1102
93	113	1094
94	114	1086
95	114	1078
96	115	1071
97	115	1064
98	116	1057
99	116	1051
100	117	1044
101	117	1037
102	118	1031
103	118	1024
104	119	1016
105	119	1009
106	120	1003
107	120	996
108	121	991
109	121	986
110	122	980
111	122	974
112	123	968
113	123	963
114	124	957
115	124	952
116	125	946
117	125	940
118	126	935
119	126	930
120	127	925
121	127	919
122	128	914
123	128	909
124	129	904
125	129	899
126	130	895
127	130	890
128	131	886
129	131	882
130	132	877
131	132	872
132	133	868
133	133	863
134	134	859
135	134	855
136	135	851
137	135	846
138	136	842
139	136	838
140	136	833
141	137	829
142	137	826
143	138	822
144	138	818
145	139	815
146	139	811
147	140	808
148	140	804
149	141	801
150	142	798
151	142	794
152	143	791
153	143	788
154	144	785
155	144	783
156	145	780
157	145	777
158	146	773
159	146	770
160	147	767
161	147	765
162	148	761
163	148	758
164	149	755
165	149	752
166	150	750
167	150	747
168	151	745
169	152	742
170	152	740
171	153	737
172	153	735
173	154	732
174	154	730
175	155	728
176	156	725
177	156	723
178	157	721
179	157	718
180	158	715
181	158	713
182	159	710
183	159	708
184	160	705
185	160	702
186	161	700
187	161	697
188	161	694
189	162	692
190	162	689
191	163	687
192	163	685
193	164	683
194	165	681
195	165	679
196	165	676
197	166	673
198	166	671
199	167	669
200	167	667
201	168	665
202	168	662
203	169	660
204	169	658
205	170	656
206	170	653
207	171	651
208	171	649
209	172	647
210	172	645
211	172	642
212	173	640
213	173	638
214	174	636
215	174	634
216	176	635
217	176	633
218	177	631
219	177	629
220	178	627
221	178	625
222	179	623
223	179	622
224	180	620
225	180	618
226	180	615
227	181	614
228	181	612
229	182	610
230	182	608
231	183	607
232	183	605
233	184	603
234	184	602
235	185	600
236	186	598
237	186	597
238	187	595
239	187	593
240	187	591
241	188	590
242	188	588
243	189	587
244	189	585
245	190	583
246	190	582
247	191	580
248	191	578
249	192	577
250	192	575
251	193	574
252	193	572
253	194	570
254	194	569
255	195	567
256	195	566
257	196	564
258	196	562
259	197	561
260	197	559
261	198	558
262	198	556
263	199	555
264	199	553
265	200	552
266	200	550
267	201	549
268	201	547
269	202	546
270	202	544
271	202	543
272	203	541
273	203	540
274	204	538
275	204	537
276	205	536
277	205	534
278	206	533
279	206	532
280	207	531
281	208	529
282	208	528
283	209	527
284	209	526
285	210	525
286	210	523
287	211	522
288	211	521
289	212	520
290	213	519
291	213	518
292	214	516
293	214	515
294	215	514
295	215	513
296	216	512
297	217	511
298	217	510
299	218	509
300	218	507
301	219	506
302	219	505
303	220	503
304	220	502
305	221	501
306	221	500
307	222	498
308	222	497
309	223	496
310	223	495
311	224	494
312	224	492
313	225	491
314	225	490
315	226	489
316	226	488
317	227	487
318	227	486
319	228	485
320	228	484
321	229	483
322	229	481
323	230	480
324	230	479
325	231	478
326	231	477
327	232	476
328	233	475
329	233	474
330	234	473
331	234	472
332	235	471
333	235	470
334	236	469
335	236	468
336	237	466
337	237	466
338	238	465
339	238	463
340	239	462
341	240	461
342	240	460
343	241	459
344	241	458
345	242	457
346	242	456
347	242	455
348	243	454
349	243	452
350	244	451
351	244	450
352	245	449
353	245	448
354	246	447
355	246	446
356	247	445
357	247	444
358	248	443
359	248	442
360	249	441
361	249	440
362	250	438
363	250	437
364	251	436
365	251	435
366	251	434
367	252	433
368	252	432
369	253	431
370	253	430
371	254	429
372	254	428
373	255	427
374	255	426
375	256	425
376	256	424
377	257	423
378	257	422
379	258	421
380	258	420
381	259	419
382	259	418
383	260	417
384	260	416
385	261	415
386	261	414
387	262	413
388	262	412
389	263	411
390	263	410
391	264	409
392	264	408
393	265	407
394	265	407
395	266	406
396	266	405
397	267	404
398	267	403
399	268	402
400	268	401
401	269	400
402	269	399
403	270	398
404	270	397
405	270	396
406	271	395
407	272	394
408	272	394
409	273	393
410	273	392
411	274	391
412	274	390
413	275	389
414	275	388
415	276	388
416	276	387
417	277	386
418	277	385
419	278	384
420	278	383
421	279	382
422	279	381
423	280	380
424	280	380
425	281	379
426	281	378
427	282	377
428	282	376
429	283	375
430	283	374
431	284	373
432	284	372
433	285	371
434	285	370
435	286	370
436	286	369
437	287	368
438	287	367
439	288	366
440	288	365
441	289	365
442	289	364
443	290	363
444	290	362
445	291	361
446	291	361
447	292	360
448	293	359
449	293	358
450	294	358
451	294	357
452	295	356
453	295	355
454	296	354
455	296	353
456	297	353
457	297	352
458	298	351
459	298	350
460	299	349
461	299	348
462	300	348
463	300	347
464	301	346
465	301	345
466	302	345
467	302	344
468	303	343
469	303	342
470	304	341
471	305	341
472	305	340
473	306	339
474	306	338
475	306	337
476	307	337
477	307	336
478	308	335
479	308	334
480	309	333
481	309	333
482	310	332
483	310	331
484	311	330
485	312	329
486	312	329
487	313	328
488	313	328
489	314	327
490	314	326
491	315	325
492	315	324
493	316	324
494	316	323
495	317	322
496	317	321
497	318	320
498	318	320
499	319	319
500	319	318
501	320	317
502	320	316
503	321	316
504	321	315
505	322	314
506	322	314
507	323	313
508	324	312
509	324	311
510	325	311
511	325	310
512	326	309
513	326	308
514	327	308
515	327	307
516	328	306
517	328	305
518	329	305
519	329	304
520	330	303
521	331	303
522	331	302
523	332	301
524	332	301
525	333	300
526	333	299
527	334	298
528	334	297
529	335	297
530	335	296
531	335	295
532	336	294
533	336	293
534	337	293
535	337	292
536	338	291
537	338	290
538	339	290
539	339	289
540	340	288
541	340	287
542	340	286
543	341	286
544	341	285
545	342	284
546	342	283
547	343	283
548	343	282
549	344	281
550	344	280
551	345	280
552	345	279
553	345	278
554	346	277
555	346	276
556	347	276
557	347	275
558	348	274
559	348	273
560	349	273
561	349	272
562	350	271
563	350	271
564	351	270
565	351	269
566	351	268
567	352	267
568	352	267
569	353	266
570	353	265
571	354	265
572	354	264
573	355	263
574	355	262
575	356	262
576	356	261
577	356	260
578	357	259
579	357	259
580	358	258
581	358	257
